Date,Recorded at,Scheduled for,Amount,Activity,Pending,Raw description,Description,Category folder,Category,Street address,City,State,Zip,Latitude,Longitude,Memo
2015/07/22,2015-07-22 09:34:08 AM -0700,,-500.00,ACH,false,Settlement transfer,Transfer to E TRADE BANK,Financial,Money Transfer,,,,,,,
2015/07/23,2015-07-23 04:51:28 PM -0700,,-3.00,Signature purchase,false,PETTYJOHNS LIQUOR & WI,Pettyjohns Liquor & Win,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/07/24,2015-07-23 06:32:14 PM -0700,,-39.46,Signature purchase,false,THE DARK HORSE,The Dark Horse,Food & Drink,Restaurants,,Boulder,CO,,40.03402,-105.30482,
2015/07/24,2015-07-24 03:31:18 AM -0700,,420.00,ACH,false,LIVINGSOCIAL,Livingsocial,Income,Other,,,,,,,
2015/07/25,2015-07-25 01:49:15 PM -0700,,-14.85,Signature purchase,false,TACO BELL 000300031948,Taco Bell,Food & Drink,Fast Food,,Boulder,CO,,40.03402,-105.30482,
2015/07/25,2015-07-25 02:15:55 PM -0700,,-32.17,Signature purchase,false,BROADWAY WINE & SPIRIT,Broadway Wine & Spirit,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/07/25,2015-07-25 11:38:38 AM -0700,,-2.18,Signature purchase,false,PDQ 8001,Pdq,Transportation,Gas,,Boulder,CO,,40.03402,-105.30482,
2015/07/25,2015-07-25 11:40:48 AM -0700,,-5.86,Signature purchase,false,VIKING SPIRITS AND LIQ,Viking Spirits And Liquor,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/07/26,2015-07-26 04:26:27 PM -0700,,-196.30,Pin purchase,false,COSTCO WHSE #0480,Costco Whse,Uncategorized,Other Shopping,,Superior,CO,,39.93119,-105.15909,
2015/07/26,2015-07-26 10:18:27 AM -0700,,-90.60,Pin purchase,false,KING SOOPERS,King Soopers,Food & Drink,Groceries,,Boulder,CO,,40.03402,-105.30482,
